name,code
Antenior,ANT
Antenoir,ANT
Batoka,BTK
Baycon,BY
Bayhead,BYD
Bayhead Goedere,BYG
Beaconsfileld,BEC
Beitbridge,BBD
Belville,BLE
Bislkor,YSK
Blescorp,BLP
Bloemfontein,BFX
Botswana,BOT
Brits,BTR
Bulawayo,BLR
Bushland,DUA
Bushstick,BUSH
Bushtick,BUK
Bushtik,BUK
Bwanamkubwa,BWA
Bwana-Mkubwa,BKA
Capital Park,CPK
Capital Park Repair Siding,CKH
Catoridge,COR
Cement,CMT
Chambeshi,CBJ
Chambishi,CBS
Chicualacuala,CUA
Chikululu,CLU
Chililabombwe,HIL
Chingola,CGL
Chipongwe,CHG
Chisamba,CBA
Choma,CHA
Chozi,COZ
City Deep,CDP
Coega,CGA
Coligny,COL
Colleen Bawn,CBN
Cordelfos,CFS
Daanskraal,DSL
Dabuka,DBU
Dar-es-salaam,DAR
Debrug,DBG
Deka,DKA
Dete,DETE
Dibangombe,DBI
DIT Eastcon,EOC
Durban,DNR
Dwaalboom,DWAAL
El Dorado,EDD
Empangeny,EMG
Endicott,EDC
Entuba,ENTUBA
Ermelo,EML
Esigodini,ESG
Fungurume,FG
Fynlands,FYN
Germiston,GMR
Germiston Nord,NRD
Glencoe,GJO
Golela,GOL
Grants,GNT
Greylingstad,GDR
Grootspelonke,GSP
Gwai,GWI
Gwanda,GAS
Gweru,GRU
Hamanskraal,HKR
Harare,HRE
Heany,HYA
Heidelbergt,HGR
Hoakwe,HWE
Hoedspruit,HDT
Hwange ,HWA
Idinga,IDG
Igusi,IGS
Impofu,IMP
Ingwe,IGW
Intundla,INT
Inyantue,IYT
Isando,ISO
Islandview,IDL
Jafuta,JFT
Jankempdorp,JKP
Johannesburg,JHB
Jopempi,JPI
Jupitor,JUP
Kaapmeiden,KMD
Kabwe,KBE
Kafironda,KAR
Kafue,KFE
Kafulafuta,KAF
Kakanda,KKD
Kakulu,KLU
Kalomo,KLO
Kalukuluku,KLK
Kaluwe,KLW
Kamina,KMA
Kampoyo,KPY
Kananga,KAN
Kasama,KSM
Kasavasa,KVS
Kashitu,KTU
Katanino,KTN
Katbosfontein,KBF
Kazern,SNO
Kazuku,KZK
Kennedy,KDY
Kingrest,KGX
Kipushi,KPI
Kisaki,KSK
Kisenda,KIS
Kitwe,KIT
Koedoespoort,KDS
Kolwezi,KWI
Komatipoort,KTR
Krugers dorp,KGR
Kurasini,KRS
Kwekwe,KWE
Ladaana,LAA
Langlaagte,LLA
Langlaagte Sidings,LLX
Leeuhof,LHF
Leeuhof Siding,LHH
Lightenburg,LTX
Likasi,LKS-DRC
Lilayi,LYI
Livingstone,LRS
Lochinvar,LOC
Lochnivar,LHV
Louise Trichardt,LTT
Luanshimba,LSH
Luanshya,LUY
Lubombo,LBO
Lubudi,LI
Lubumbashi,LBB
Luchewe,LCW
Luena,LNA
Luisha,LWA
Lukanda,LAA-RSZ
Lukosi,LKS-BBR
Lusaka,LKA
Lusiwasi,LWS
Luveve,LVE
Lwilu,LU
Mabote,MAB
Madibogo,MBO
Mafikeng,MEI
Magoye,MGY
Maiden Head,MDH
Makambako,MKB
