Wagon ID,Symbol,Type,Owner
69035686,AY,Open,BBR
69035970,AY,Open,BBR
69036047,AY,Open,BBR
69037388,AY,Open,BBR
69038597,AY,Open,BBR
69038678,AY,Open,BBR
91550019,AY,Open,BBR
91550022,AY,Open,BBR
91550035,AY,Open,BBR
91550048,AY,Open,BBR
91550051,AY,Open,BBR
91550064,AY,Open,BBR
91550077,AY,Open,BBR
91550080,AY,Open,BBR
91550093,AY,Open,BBR
91550103,AY,Open,BBR
91550129,AY,Open,BBR
91550132,AY,Open,BBR
91550145,AY,Open,BBR
91550158,AY,Open,BBR
91550161,AY,Open,BBR
91550174,AY,Open,BBR
91550187,AY,Open,BBR
91550190,AY,Open,BBR
91550200,AY,Open,BBR
91550213,AY,Open,BBR
91550226,AY,Open,BBR
91550239,AY,Open,BBR
91550242,AY,Open,BBR
91550255,AY,Open,BBR
91550268,AY,Open,BBR
91550271,AY,Open,BBR
91550284,AY,Open,BBR
91550297,AY,Open,BBR
91550307,AY,Open,BBR
91550310,AY,Open,BBR
91550323,AY,Open,BBR
91550336,AY,Open,BBR
91550349,AY,Open,BBR
91550352,AY,Open,BBR
91550365,AY,Open,BBR
91550378,AY,Open,BBR
91550381,AY,Open,BBR
91550394,AY,Open,BBR
91550404,AY,Open,BBR
91550417,AY,Open,BBR
91550420,AY,Open,BBR
91550433,AY,Open,BBR
91550446,AY,Open,BBR
91550459,AY,Open,BBR
91550462,AY,Open,BBR
91550475,AY,Open,BBR
91550488,AY,Open,BBR
91550491,AY,Open,BBR
91550501,AY,Open,BBR
91550514,AY,Open,BBR
91550527,AY,Open,BBR
91550530,AY,Open,BBR
91380014,D,Open,BBR
91380027,D,Open,BBR
91380030,D,Open,BBR
91380043,D,Open,BBR
91380056,D,Open,BBR
91380069,D,Open,BBR
91380072,D,Open,BBR
91380085,D,Open,BBR
91380098,D,Open,BBR
91380108,D,Open,BBR
91380124,D,Open,BBR
91380137,D,Open,BBR
91380140,D,Open,BBR
91380153,D,Open,BBR
91380166,D,Open,BBR
91380179,D,Open,BBR
91380182,D,Open,BBR
91380195,D,Open,BBR
91380205,D,Open,BBR
91380218,D,Open,BBR
91380221,D,Open,BBR
91380234,D,Open,BBR
91380247,D,Open,BBR
91380250,D,Open,BBR
91380263,D,Open,BBR
91380276,D,Open,BBR
91380289,D,Open,BBR
91380292,D,Open,BBR
91380302,D,Open,BBR
91380315,D,Open,BBR
91380328,D,Open,BBR
91380331,D,Open,BBR
91380344,D,Open,BBR
91380357,D,Open,BBR
91380360,D,Open,BBR
91380373,D,Open,BBR
91380386,D,Open,BBR
91380399,D,Open,BBR
91380409,D,Open,BBR
91380412,D,Open,BBR
91380425,D,Open,BBR
91380438,D,Open,BBR
91380441,D,Open,BBR
91380454,D,Open,BBR
91380467,D,Open,BBR
91380470,D,Open,BBR
91380483,D,Open,BBR
91380496,D,Open,BBR
91380506,D,Open,BBR
91380519,D,Open,BBR
91380522,D,Open,BBR
91380535,D,Open,BBR
91380548,D,Open,BBR
91380551,D,Open,BBR
91380564,D,Open,BBR
91380577,D,Open,BBR
91380616,D,Open,BBR
92370036,D,Open,BBR
92370049,D,Open,BBR
92370052,D,Open,BBR
92370065,D,Open,BBR
92370078,D,Open,BBR
92370081,D,Open,BBR
92370094,D,Open,BBR
92370117,D,Open,BBR
92370120,D,Open,BBR
92370133,D,Open,BBR
92370146,D,Open,BBR
92370159,D,Open,BBR
92370162,D,Open,BBR
92370188,D,Open,BBR
92370191,D,Open,BBR
92370201,D,Open,BBR
92370214,D,Open,BBR
92370227,D,Open,BBR
92370230,D,Open,BBR
92370243,D,Open,BBR
92370256,D,Open,BBR
92370269,D,Open,BBR
92370272,D,Open,BBR
92370285,D,Open,BBR
92370298,D,Open,BBR
92370308,D,Open,BBR
92370311,D,Open,BBR
92370324,D,Open,BBR
92370337,D,Open,BBR
92370340,D,Open,BBR
92370353,D,Open,BBR
92370366,D,Open,BBR
92370379,D,Open,BBR
92370382,D,Open,BBR
92370395,D,Open,BBR
92370405,D,Open,BBR
92370418,D,Open,BBR
92370421,D,Open,BBR
92370434,D,Open,BBR
92370447,D,Open,BBR
92370450,D,Open,BBR
92370463,D,Open,BBR
92370476,D,Open,BBR
92370489,D,Open,BBR
92370492,D,Open,BBR
92370502,D,Open,BBR
92370515,D,Open,BBR
92370528,D,Open,BBR
92370531,D,Open,BBR
92370544,D,Open,BBR
92370557,D,Open,BBR
92370560,D,Open,BBR
92370573,D,Open,BBR
92370586,D,Open,BBR
92370599,D,Open,BBR
92370609,D,Open,BBR
92370612,D,Open,BBR
92370625,D,Open,BBR
92370638,D,Open,BBR
92370641,D,Open,BBR
92370654,D,Open,BBR
92370667,D,Open,BBR
92370670,D,Open,BBR
92370683,D,Open,BBR
92370696,D,Open,BBR
92370706,D,Open,BBR
92370719,D,Open,BBR
92370722,D,Open,BBR
92370735,D,Open,BBR
92370748,D,Open,BBR
92370751,D,Open,BBR
92370764,D,Open,BBR
92370777,D,Open,BBR
92370780,D,Open,BBR
92370793,D,Open,BBR
92370803,D,Open,BBR
92370816,D,Open,BBR
92370829,D,Open,BBR
92370832,D,Open,BBR
92370845,D,Open,BBR
92370858,D,Open,BBR
92370861,D,Open,BBR
92370874,D,Open,BBR
92370887,D,Open,BBR
92370890,D,Open,BBR
92370900,D,Open,BBR
92370913,D,Open,BBR
92370926,D,Open,BBR
92370939,D,Open,BBR
92370942,D,Open,BBR
92370955,D,Open,BBR
92370968,D,Open,BBR
92370971,D,Open,BBR
92370984,D,Open,BBR
92370997,D,Open,BBR
92371006,D,Open,BBR
92371019,D,Open,BBR
92371022,D,Open,BBR
92371035,D,Open,BBR
92371048,D,Open,BBR
92371051,D,Open,BBR
92371064,D,Open,BBR
92371077,D,Open,BBR
92371080,D,Open,BBR
92371093,D,Open,BBR
92371103,D,Open,BBR
92371116,D,Open,BBR
92371129,D,Open,BBR
92371132,D,Open,BBR
92371145,D,Open,BBR
92371158,D,Open,BBR
92371161,D,Open,BBR
92371174,D,Open,BBR
92371187,D,Open,BBR
92371190,D,Open,BBR
92371200,D,Open,BBR
92371213,D,Open,BBR
92371226,D,Open,BBR
92371239,D,Open,BBR
92371242,D,Open,BBR
92371255,D,Open,BBR
92371268,D,Open,BBR
92371271,D,Open,BBR
92371284,D,Open,BBR
92371297,D,Open,BBR
92371307,D,Open,BBR
92371310,D,Open,BBR
92371323,D,Open,BBR
92371336,D,Open,BBR
92371349,D,Open,BBR
92371352,D,Open,BBR
92371365,D,Open,BBR
92371378,D,Open,BBR
92371381,D,Open,BBR
92371394,D,Open,BBR
92371404,D,Open,BBR
92371417,D,Open,BBR
92371420,D,Open,BBR
92371433,D,Open,BBR
92371446,D,Open,BBR
92371459,D,Open,BBR
92371462,D,Open,BBR
92371475,D,Open,BBR
92371488,D,Open,BBR
92371491,D,Open,BBR
92371501,D,Open,BBR
92371514,D,Open,BBR
92371527,D,Open,BBR
92371530,D,Open,BBR
92371543,D,Open,BBR
92371556,D,Open,BBR
92371569,D,Open,BBR
92371572,D,Open,BBR
92371585,D,Open,BBR
92371598,D,Open,BBR
92371608,D,Open,BBR
92371611,D,Open,BBR
92371624,D,Open,BBR
92371637,D,Open,BBR
92371640,D,Open,BBR
92371653,D,Open,BBR
92371666,D,Open,BBR
92371679,D,Open,BBR
92371682,D,Open,BBR
92371695,D,Open,BBR
92371705,D,Open,BBR
92371718,D,Open,BBR
92371734,D,Open,BBR
92371747,D,Open,BBR
92371750,D,Open,BBR
92371763,D,Open,BBR
92371776,D,Open,BBR
92371789,D,Open,BBR
92371792,D,Open,BBR
92371802,D,Open,BBR
92371815,D,Open,BBR
92371828,D,Open,BBR
92371831,D,Open,BBR
92371844,D,Open,BBR
92371857,D,Open,BBR
92371860,D,Open,BBR
92371873,D,Open,BBR
92371886,D,Open,BBR
92371899,D,Open,BBR
